,Dew Point (C),H2S (ppb),NO2 (ppb),Humidity (%),O3 (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temp (C)
count,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0,3552.0
mean,14.28,11.18,50.9,20.85,38.53,6.66,7.89,11.34,26.1
std,4.45,12.03,16.05,14.59,21.95,3.69,4.13,5.47,6.8
min,0.15,0.0,14.48,0.0,0.0,0.66,0.78,1.24,7.77
25%,11.28,1.03,37.93,8.89,20.87,3.92,4.8,7.43,21.86
50%,15.36,7.6,49.98,19.32,41.94,6.03,7.22,10.43,26.45
75%,17.71,17.56,62.89,30.33,56.07,8.73,10.35,14.17,31.04
max,22.24,75.79,95.09,77.45,84.76,27.45,29.79,43.57,40.99
kurtosis,-0.25,2.52,-0.69,-0.1,-1.04,1.38,1.12,1.9,-0.31
skew,-0.7,1.44,0.23,0.61,-0.25,1.04,0.95,1.11,-0.31
