,MAE,MSE,MAPE,R2
2022-08-08,3.38,15.69,0.07,0.82
2022-08-01,3.44,15.82,0.07,0.82
2022-07-25,3.44,15.82,0.07,0.82
2022-07-18,3.21,14.35,0.07,0.84
2022-07-11,3.61,17.37,0.08,0.8
2022-07-04,3.88,19.53,0.08,0.77
2022-06-27,3.65,17.64,0.08,0.8
2022-06-20,3.77,18.68,0.08,0.77
2022-06-13,3.79,18.72,0.08,0.77
2022-06-06,3.85,19.12,0.08,0.77
2022-05-30,3.58,16.94,0.07,0.8
2022-05-23,3.7,18.07,0.08,0.78
2022-05-16,3.59,17.15,0.08,0.8
2022-05-09,3.33,15.24,0.07,0.83
2022-05-02,3.34,15.19,0.07,0.83
2022-04-25,3.38,15.53,0.07,0.82
2022-04-18,3.47,16.27,0.07,0.81
2022-04-11,3.77,19.12,0.08,0.76
